"Study","Sample","Database","Instrument","SRA","Country","latitude","longitude","Plant","Agricultural"
"Andrea2020","Andrea2020s001","ENA","Illumina HiSeq 2500","ERR2819880","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s002","ENA","Illumina HiSeq 2500","ERR2819881","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s003","ENA","Illumina HiSeq 2500","ERR2819882","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s004","ENA","Illumina HiSeq 2500","ERR2819885","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Andrea2020","Andrea2020s005","ENA","Illumina HiSeq 2500","ERR2819886","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Andrea2020","Andrea2020s006","ENA","Illumina HiSeq 2500","ERR2819887","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Andrea2020","Andrea2020s007","ENA","Illumina HiSeq 2500","ERR2819888","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s008","ENA","Illumina HiSeq 2500","ERR2819889","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s009","ENA","Illumina HiSeq 2500","ERR2819891","Italy",45.543,9.215,"Cedrus deodara","Non-agricultural"
"Andrea2020","Andrea2020s010","ENA","Illumina HiSeq 2500","ERR2819892","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Andrea2020","Andrea2020s011","ENA","Illumina HiSeq 2500","ERR2819894","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Andrea2020","Andrea2020s012","ENA","Illumina HiSeq 2500","ERR2819895","Italy",45.543,9.215,"Magnolia grandiflora","Non-agricultural"
"Barbara2020","Barbara2020s001","NCBI","Illumina HiSeq 2000","SRR2924445","USA",34.184,-101.9436,"Zea mays","Agricultural"
"Barbara2020","Barbara2020s002","NCBI","Illumina HiSeq 2000","SRR2924446","USA",35.999,-101.9886,"Zea mays","Agricultural"
"Brown2020","Brown2020s001","NCBI","Illumina NovaSeq 6000","SRR13699269","France",43.147417,3.0008,"Medicago truncatula","Agricultural"
"Brown2020","Brown2020s002","NCBI","Illumina NovaSeq 6000","SRR13699277","France",43.147417,3.0008,"Medicago truncatula","Agricultural"
"Brown2020","Brown2020s003","NCBI","Illumina NovaSeq 6000","SRR13699274","France",43.147417,3.0008,"Medicago truncatula","Agricultural"
"Brown2020","Brown2020s004","NCBI","Illumina NovaSeq 6000","SRR13699280","France",43.147417,3.0008,"Medicago truncatula","Agricultural"
"Eric2020","Eric2020s001","NCBI","Illumina HiSeq 4000","SRR10527383","USA",32.3853,-85.6936,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s002","NCBI","Illumina HiSeq 4000","SRR10527384","USA",32.3853,-85.6936,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s003","NCBI","Illumina HiSeq 4000","SRR10527386","USA",32.6014,-85.3536,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s004","NCBI","Illumina HiSeq 4000","SRR10527387","USA",32.6014,-85.3536,"Capsicum annuum","Agricultural"
"Eric2020","Eric2020s005","NCBI","Illumina HiSeq 4000","SRR10527388","USA",32.6014,-85.3536,"Capsicum annuum","Agricultural"
"Eric2020","Eric2020s006","NCBI","Illumina HiSeq 4000","SRR10527389","USA",33.2065,-87.5346,"Capsicum annuum","Agricultural"
"Eric2020","Eric2020s007","NCBI","Illumina HiSeq 4000","SRR10527390","USA",33.2065,-87.5346,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s008","NCBI","Illumina HiSeq 4000","SRR10527391","USA",34.4572,-85.8067,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s009","NCBI","Illumina HiSeq 4000","SRR10527392","USA",34.05,-86.03,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s010","NCBI","Illumina HiSeq 4000","SRR10527393","USA",30.733,-87.7203,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s011","NCBI","Illumina HiSeq 4000","SRR10527394","USA",32.3853,-85.6936,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s012","NCBI","Illumina HiSeq 4000","SRR10527395","USA",32.3853,-85.6936,"Capsicum annuum","Agricultural"
"Eric2020","Eric2020s013","NCBI","Illumina HiSeq 4000","SRR10527396","USA",33.20654,-87.5346,"Solanum lycopersicum","Agricultural"
"Eric2020","Eric2020s014","NCBI","Illumina HiSeq 4000","SRR10527397","USA",33.20654,-87.5346,"Solanum lycopersicum","Agricultural"
"Finkel2016","Finkel2016s001","NCBI","Illumina HiSeq 1000","SRR3100155","Israel",29.5814,34.9652,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s002","NCBI","Illumina HiSeq 1000","SRR3100153","Israel",30.8711,34.7846,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s003","NCBI","Illumina HiSeq 1000","SRR3100149","Israel",31.843883,35.5133,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s004","NCBI","Illumina HiSeq 1000","SRR3100152","Israel",30.871124,34.7846,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s005","NCBI","Illumina HiSeq 1000","SRR3100147","Israel",32.561428,34.9097,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s006","NCBI","Illumina HiSeq 1000","SRR3100151","Israel",30.942444,35.3671,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s007","NCBI","Illumina HiSeq 1000","SRR3100146","Israel",32.561428,34.9097,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s008","NCBI","Illumina HiSeq 1000","SRR3100154","Israel",29.5814,34.9652,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s009","NCBI","Illumina HiSeq 1000","SRR3100148","Israel",31.843883,35.5133,"Tamarix aphylla","Non-agricultural"
"Finkel2016","Finkel2016s010","NCBI","Illumina HiSeq 1000","SRR3100150","Israel",30.942444,35.367059,"Tamarix aphylla","Non-agricultural"
"Guron2019","Guron2019s001","NCBI","Illumina HiSeq 2500","SRR7414902","USA",37.2196,-80.4232,"Lactuca sativa","Agricultural"
"Guron2019","Guron2019s002","NCBI","Illumina HiSeq 2500","SRR7414903","USA",37.2196,-80.4232,"Lactuca sativa","Agricultural"
"Guron2019","Guron2019s003","NCBI","Illumina HiSeq 2500","SRR7414904","USA",37.2196,-80.4232,"Lactuca sativa","Agricultural"
