"arg_gene_id","contig_name","orf_num_in_contig_A","actual_start_A","actual_end_A","orf_direction_A","ARG_group","ARG_subtype","ARG_mechanism","mge_gene_id","orf_num_in_contig_B","actual_start_B","actual_end_B","orf_direction_B","MGE_major_category","MGE_minor_category","loc_diff","orf_diff"
"k119_107582_length_15196_cov_9.0000_8","k119_107582_length_15196_cov_9.0000",8,5239,7568,-1,"multidrug","multidrug__msbA","Efflux pump","k119_107582_length_15196_cov_9.0000_10",10,9482,9859,-1,"integration/excision",NA,1914,2
"k119_109291_length_176539_cov_9.9971_141","k119_109291_length_176539_cov_9.9971",141,158897,160826,1,"multidrug","multidrug__tolC","Efflux pump","k119_109291_length_176539_cov_9.9971_136",136,154230,156755,-1,"replication/recombination/repair","partitioning",2142,5
"k119_11194_length_32248_cov_12.0000_8","k119_11194_length_32248_cov_12.0000",8,9614,13676,1,"multidrug","multidrug__mexW","Efflux pump","k119_11194_length_32248_cov_12.0000_18",18,24409,25698,1,"transfer","competence",10733,10
"k119_13814_length_524382_cov_12.1206_50","k119_13814_length_524382_cov_12.1206",50,49228,51521,-1,"multidrug","multidrug__efrA","Efflux pump","k119_13814_length_524382_cov_12.1206_52",52,51873,54098,1,"replication/recombination/repair",NA,352,2
"k119_13856_length_104085_cov_42.4112_31","k119_13856_length_104085_cov_42.4112",31,35151,39184,1,"multidrug","multidrug__mexW","Efflux pump","k119_13856_length_104085_cov_42.4112_38",38,43221,45403,-1,"phage","replication,chaperone",4037,7
"k119_13856_length_104085_cov_42.4112_31","k119_13856_length_104085_cov_42.4112",31,35151,39184,1,"multidrug","multidrug__mexW","Efflux pump","k119_13856_length_104085_cov_42.4112_39",39,44918,45306,-1,"phage","structural",5734,8
"k119_142649_length_47168_cov_28.9649_10","k119_142649_length_47168_cov_28.9649",10,7324,11381,-1,"multidrug","multidrug__mexW","Efflux pump","k119_142649_length_47168_cov_28.9649_2",2,389,777,1,"phage","structural",6547,8
"k119_142649_length_47168_cov_28.9649_10","k119_142649_length_47168_cov_28.9649",10,7324,11381,-1,"multidrug","multidrug__mexW","Efflux pump","k119_142649_length_47168_cov_28.9649_3",3,730,2915,1,"phage","replication,chaperone",4409,7
"k119_16204_length_92549_cov_62.6976_24","k119_16204_length_92549_cov_62.6976",24,24821,28900,-1,"multidrug","multidrug__mexW","Efflux pump","k119_16204_length_92549_cov_62.6976_16",16,17431,17819,1,"phage","structural",7002,8
"k119_16204_length_92549_cov_62.6976_24","k119_16204_length_92549_cov_62.6976",24,24821,28900,-1,"multidrug","multidrug__mexW","Efflux pump","k119_16204_length_92549_cov_62.6976_17",17,17774,19952,1,"phage","replication,chaperone",4869,7
"k119_18825_length_527403_cov_23.0576_428","k119_18825_length_527403_cov_23.0576",428,458670,459763,1,"beta_lactam","beta_lactam__OXA-348","Enzymatic inactivation","k119_18825_length_527403_cov_23.0576_431",431,460932,461657,1,"replication/recombination/repair",NA,1169,3
"k119_19148_length_164763_cov_23.0000_74","k119_19148_length_164763_cov_23.0000",74,76218,80244,-1,"multidrug","multidrug__mexW","Efflux pump","k119_19148_length_164763_cov_23.0000_67",67,69207,69595,1,"phage","structural",6623,7
"k119_19148_length_164763_cov_23.0000_74","k119_19148_length_164763_cov_23.0000",74,76218,80244,-1,"multidrug","multidrug__mexW","Efflux pump","k119_19148_length_164763_cov_23.0000_68",68,69550,71732,1,"phage","replication,chaperone",4486,6
"k119_22722_length_52114_cov_9.0000_20","k119_22722_length_52114_cov_9.0000",20,18608,22838,1,"multidrug","multidrug__mexQ","Efflux pump","k119_22722_length_52114_cov_9.0000_10",10,8322,9743,-1,"phage","stability/transfer/defense",8865,10
"k119_22722_length_52114_cov_9.0000_20","k119_22722_length_52114_cov_9.0000",20,18608,22838,1,"multidrug","multidrug__mexQ","Efflux pump","k119_22722_length_52114_cov_9.0000_11",11,9392,9925,-1,"phage","lysis/lysogeny",8683,9
"k119_22722_length_52114_cov_9.0000_20","k119_22722_length_52114_cov_9.0000",20,18608,22838,1,"multidrug","multidrug__mexQ","Efflux pump","k119_22722_length_52114_cov_9.0000_26",26,32195,34192,1,"stability/transfer/defense",NA,9357,6
"k119_22722_length_52114_cov_9.0000_20","k119_22722_length_52114_cov_9.0000",20,18608,22838,1,"multidrug","multidrug__mexQ","Efflux pump","k119_22722_length_52114_cov_9.0000_29",29,36329,40410,1,"stability/transfer/defense",NA,13491,9
"k119_24444_length_6670_cov_6.0000_2","k119_24444_length_6670_cov_6.0000",2,794,1882,-1,"bacitracin","bacitracin__bacA","Antibiotic target alteration","k119_24444_length_6670_cov_6.0000_7",7,4730,7055,1,"replication/recombination/repair",NA,2848,5
"k119_26927_length_11595_cov_10.0000_11","k119_26927_length_11595_cov_10.0000",11,8935,11264,-1,"multidrug","multidrug__msbA","Efflux pump","k119_26927_length_11595_cov_10.0000_3",3,1664,3425,-1,"replication/recombination/repair","partitioning",5510,8
