"contig_name","orf_num_in_contig_A","actual_start_A","actual_end_A","orf_direction_A","ARG_group","ARG_subtype","ARG_riskrank","ARG_mechanism","orf_num_in_contig_B","actual_start_B","actual_end_B","orf_direction_B","MGE_major_category","MGE_minor_category","MGE_Class","Agricultural","Non.agricultural"
"k141_171459_length_485892_cov_159.0142",160,182811,183852,-1,"multidrug","oqxB","IV","Efflux pump",167,192866,193340,-1,"replication/recombination/repair",NA,"Plasmid",1.73082539700325,0.000765475459459364
"k141_14701_length_357976_cov_90.1148",83,94257,94806,-1,"polymyxin","rosB","IV","Efflux pump",79,89382,89581,1,"replication/recombination/repair",NA,"Plasmid",0.760047047557931,0.000505308051272085
"k141_307809_length_257185_cov_77.0105",158,183780,184359,1,"multidrug","msbA","IV","Efflux pump",166,192061,192499,1,"replication/recombination/repair","partitioning","Plasmid",0.665144359662391,0.000376452747190813
"k141_307809_length_257185_cov_77.0105",158,183780,184359,1,"multidrug","msbA","IV","Efflux pump",168,194095,195563,1,"replication/recombination/repair","transfer,partitioning","Plasmid",0.665144359662391,0.000376452747190813
"k141_323260_length_197785_cov_30.7598",80,99990,100545,-1,"bacitracin","bacA","III","Antibiotic target alteration",74,91647,91982,-1,"transfer","competence","Plasmid",0.10247189204547,0.00119930575233216
"k141_323260_length_197785_cov_30.7598",80,99990,100545,-1,"bacitracin","bacA","III","Antibiotic target alteration",75,92657,92980,-1,"transfer","competence","Plasmid",0.10247189204547,0.00119930575233216
"k141_323260_length_197785_cov_30.7598",80,99990,100545,-1,"bacitracin","bacA","III","Antibiotic target alteration",83,104140,104331,1,"replication/recombination/repair",NA,"Plasmid",0.10247189204547,0.00119930575233216
"k141_87627_length_98475_cov_17.0000",77,75299,75791,1,"multidrug","tolC","IV","Efflux pump",72,70690,71317,-1,"replication/recombination/repair","partitioning","Phage",0.0290139709550495,0.00283883502664311
"k141_87627_length_98475_cov_17.0000",91,90586,90857,-1,"bacitracin","bacA","II","Antibiotic target alteration",90,89297,89704,1,"phage","regulation,infection","Plasmid",0.0290139709550495,0.00283883502664311
"k141_259802_length_89408_cov_18.0585",80,79719,80094,1,"multidrug","acrE","IV","Efflux pump",76,77118,77214,1,"integration/excision","replication/recombination/repair","Phage",0.0810367481111139,0.00275986308314488
"k141_259802_length_89408_cov_18.0585",81,80894,81928,1,"multidrug","acrF","IV","Efflux pump",76,77118,77214,1,"integration/excision","replication/recombination/repair","Phage",0.0810367481111139,0.00275986308314488
"k141_355594_length_47557_cov_51.0000",2,2795,3190,-1,"multidrug","Klebsiella pneumoniae acrA","IV","Efflux pump",5,8294,8591,-1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",2,2795,3190,-1,"multidrug","Klebsiella pneumoniae acrA","IV","Efflux pump",7,9447,9620,-1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",2,2795,3190,-1,"multidrug","Klebsiella pneumoniae acrA","IV","Efflux pump",10,11216,11849,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",2,2795,3190,-1,"multidrug","Klebsiella pneumoniae acrA","IV","Efflux pump",12,13513,13712,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",17,19466,20018,-1,"polymyxin","rosB","IV","Efflux pump",7,9447,9620,-1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",17,19466,20018,-1,"polymyxin","rosB","IV","Efflux pump",10,11216,11849,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",17,19466,20018,-1,"polymyxin","rosB","IV","Efflux pump",12,13513,13712,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",17,19466,20018,-1,"polymyxin","rosB","IV","Efflux pump",21,25323,25585,-1,"transfer",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",17,19466,20018,-1,"polymyxin","rosB","IV","Efflux pump",25,29719,30022,-1,"phage","lysis/lysogeny,regulation","Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",18,21389,21772,-1,"polymyxin","rosA","IV","Efflux pump",10,11216,11849,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",18,21389,21772,-1,"polymyxin","rosA","IV","Efflux pump",12,13513,13712,1,"replication/recombination/repair",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",18,21389,21772,-1,"polymyxin","rosA","IV","Efflux pump",21,25323,25585,-1,"transfer",NA,"Plasmid",0.0915097382861881,0.0012136907770318
"k141_355594_length_47557_cov_51.0000",18,21389,21772,-1,"polymyxin","rosA","IV","Efflux pump",25,29719,30022,-1,"phage","lysis/lysogeny,regulation","Plasmid",0.0915097382861881,0.0012136907770318
"k141_181860_length_39727_cov_11.9964",36,35667,36701,1,"multidrug","acrF","IV","Efflux pump",33,33102,33198,1,"integration/excision","replication/recombination/repair","Phage",0.0845094053752475,0.00144928635371025
"k141_78186_length_35875_cov_10.0000",24,24910,25299,1,"multidrug","oqxA","IV","Efflux pump",20,21610,21874,-1,"replication/recombination/repair","phage","Phage",0.0767430240143564,0.000723291489399293
"k141_78186_length_35875_cov_10.0000",25,26109,27157,1,"multidrug","oqxB","IV","Efflux pump",20,21610,21874,-1,"replication/recombination/repair","phage","Phage",0.0767430240143564,0.000723291489399293
