"qseqid","sseqid","identity","coverage","evalue","length","mismatch","gapopen","gaps","qlen","qstart","qend","slen","sstart","send","contig_name","orf_num_in_contig","orf_start_pos","orf_end_pos","orf_direction","actual_start","actual_end","Tag","Type","Subtype","HMM.category","Mechanism.group","Mechanism.subgroup","Mechanism.subgroup2","SARG3.0_F","SARG3.0_L","SARG3.0_S"
"k141_28772_length_16957_cov_8.4275_2","YP_970399",94.1,99.6,1.71e-183,273,16,0,0,274,2,274,274,2,274,"k141_28772_length_16957_cov_8.4275",2,1166,1990,1,1168,2264,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_3049_length_57849_cov_7.9992_13","NC_011586.7045443.p01",98.1,100,6.98e-275,416,8,0,0,416,1,416,416,1,416,"k141_3049_length_57849_cov_7.9992",13,15294,16544,-1,15295,16960,"multicomponent system","multidrug","multidrug__adeI","adeI","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_9241_length_46454_cov_8.0000_49","gb|ACQ82816.1|ARO:3004577|Acinetobacter",95.7,100,0,492,21,0,0,492,1,492,492,1,492,"k141_9241_length_46454_cov_8.0000",49,43516,44994,1,43517,45486,"","multidrug","multidrug__Acinetobacter baumannii AmvA","Acinetobacter baumannii AmvA","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_43547_length_40348_cov_8.0000_7","NC_011595.7057907.p01",95.9,99.9,0,1030,42,0,0,1031,1,1030,1031,1,1030,"k141_43547_length_40348_cov_8.0000",7,8491,11586,1,8492,12616,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_36447_length_35181_cov_8.0000_9","NC_011595.7058890.p01",92.9,100,2.49e-292,468,33,0,0,468,1,468,468,1,468,"k141_36447_length_35181_cov_8.0000",9,5715,7121,-1,5716,7589,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_36447_length_35181_cov_8.0000_11","gi|507071439|ref|WP_016142217.1|",99.8,100,5.97e-270,445,1,0,0,445,1,445,445,1,445,"k141_36447_length_35181_cov_8.0000",11,9129,10466,-1,9130,10911,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_33916_length_34490_cov_8.0000_27","gi|951242754|ref|WP_057691494.1|",83.8,100,5.15e-236,394,64,0,0,394,1,394,394,1,394,"k141_33916_length_34490_cov_8.0000",27,26450,27634,-1,26451,28028,"","tetracycline","tetracycline__tetA","tetA","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_56592_length_32150_cov_7.7245_17","gi|446988854|ref|WP_001066110.1|",86.5,100,1.84e-225,400,54,0,0,400,1,400,400,1,400,"k141_56592_length_32150_cov_7.7245",17,18237,19439,1,18238,19839,"","multidrug","multidrug__Other_major_facilitator_superfamily_transporter","Other_major_facilitator_superfamily_transporter","Efflux pump","","","Yes","Yes","Yes"
"k141_3032_length_31146_cov_9.0000_27","WP_000345069.1",98.4,99.1,7.65000000000036e-312,434,7,0,0,438,5,438,434,1,434,"k141_3032_length_31146_cov_9.0000",27,28040,29356,-1,28045,29794,"","quinolone","quinolone__Acinetobacter baumannii AbaQ","Acinetobacter baumannii AbaQ","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_66826_length_30488_cov_8.0000_10","gi|587794836|gb|EXA87379.1|",93,98.9,2.32e-288,443,31,0,0,448,6,448,443,1,443,"k141_66826_length_30488_cov_8.0000",10,7789,9135,-1,7795,9583,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_512_length_24096_cov_8.0000_16","NC_010410.6003348.p01",95.4,100,1.74e-66,109,5,0,0,109,1,109,109,1,109,"k141_512_length_24096_cov_8.0000",16,15467,15796,1,15468,15905,"","multidrug","multidrug__abeS","abeS","Efflux pump","SMR family antibiotic efflux pump","","Yes","Yes","Yes"
